Symbol,Fund Score,Sector,consol_days,duration_label,range_pct,range_high,range_low,pct_to_breakout,is_breaking_out,breakout_volume,has_bell,current_price
FINEORG,73.0,Chemicals,799,799d (2+ years),36.97,5449.98,3979.08,-21.91,False,0.48,True,4256.1
RELIANCE,55.0,"Oil, Gas & Consumable Fuels",612,612d (1.5-2 years),34.98,1559.69,1155.54,-9.32,False,1.39,True,1414.4
GARFIBRES,64.0,Textiles,544,544d (1.5-2 years),49.23,930.55,623.57,-34.26,False,1.54,True,611.7
SUNPHARMA,65.0,Healthcare,527,527d (1.5-2 years),26.17,1851.4,1467.38,-4.01,False,1.29,True,1777.1
SUPRAJIT,45.0,Automobile and Auto Components,497,497d (1-1.5 years),38.87,532.48,383.43,-24.4,False,1.93,True,402.55
HAL,62.0,Capital Goods,490,490d (1-1.5 years),49.79,5131.37,3425.74,-26.29,False,0.77,True,3782.4
IPCALAB,53.0,Healthcare,486,486d (1-1.5 years),37.72,1614.06,1171.99,-4.28,False,2.4,True,1544.9
GRANULES,60.0,Healthcare,444,444d (1-1.5 years),47.5,666.21,451.66,-11.3,False,2.37,True,590.95
PERSISTENT,76.0,Information Technology,390,390d (1-1.5 years),38.43,6452.52,4661.31,-26.9,False,0.81,True,4716.7
DIVISLAB,64.0,Healthcare,332,332d (under 1 year),23.57,6796.13,5500.03,-10.24,False,1.09,True,6100.0
