Symbol,Sector,Industry,Broad Sector,Revenue CAGR 5Y,Revenue CAGR 10Y,Revenue CAGR Max,Revenue CAGR Years,Avg OPM 5Y,Avg OPM 10Y,Profit CAGR 5Y,Profit CAGR 10Y,Profit CAGR Max,Profit CAGR Years,TTM Revenue,Revenue YoY Q,Revenue Consecutive YoY,Revenue Accelerating,TTM Profit,Profit YoY Q,Profit Positive Q,Total Quarters,Latest OPM Q,Avg OPM 4Q,Margin Improving,Latest EPS Q,EPS YoY Growth,Latest Debt,Debt Reducing,Latest Equity,ROE,Debt to Equity,Latest Operating CF,CF Positive Years,CF Total Years,CF Growing,Latest ROCE,ROCE Improving,Avg ROCE 5Y,Promoter Holding,Promoter Change 4Q,Promoter Change 8Q,FII Holding,FII Change 4Q,DII Holding,DII Change 4Q,ROE from Ratios,ROE Avg 5Y,ROE Improving,Final ROE
TCS,Information Technology,Computers - Software & Consulting,Information Technology,10.22,10.43,10.43,10.0,27.0,27.0,8.5,9.3,9.3,10,260802.0,4.87,4.0,False,47963.0,-13.85,13,13,27.0,26.75,True,29.45,-13.94,10932.0,False,106415.0,45.07,0.1,48908.0,12,12,True,65.0,True,58.2,71.77,0.0,-0.64,10.37,-2.31,12.81,1.95,,,,45.07
INFY,Information Technology,Computers - Software & Consulting,Information Technology,12.41,11.82,11.82,10.0,25.2,25.6,9.96,8.02,8.02,10,173173.0,8.9,4.0,True,28003.0,-2.29,13,13,23.0,23.75,False,16.41,0.12,8755.0,False,103330.0,27.1,0.08,35694.0,12,12,True,38.0,True,38.0,14.52,0.09,-0.26,30.27,-3.03,41.08,2.89,,,,27.1
HDFCBANK,Financial Services,Private Sector Bank,Financial Services,22.45,20.84,20.84,10.0,4.0,9.4,21.89,21.24,21.24,10,348212.0,2.38,4.0,False,77430.0,12.82,13,13,-15.0,-14.5,False,12.87,11.53,599507.0,False,539144.0,14.36,1.11,127242.0,7,12,True,,,,0.0,0.0,0.0,47.67,-1.54,37.0,2.63,14.0,16.2,False,14.0
RELIANCE,"Oil, Gas & Consumable Fuels",Refineries & Marketing,Energy,10.04,9.91,9.91,10.0,16.8,16.0,15.31,13.15,13.15,10,1024548.0,10.38,4.0,True,97776.0,1.64,13,13,17.0,17.5,False,13.78,0.58,374593.0,True,877280.0,11.15,0.43,178703.0,12,12,True,10.0,True,9.0,50.0,-0.13,-0.3,19.09,-0.07,20.1,1.08,,,,11.15
WIPRO,Information Technology,Computers - Software & Consulting,Information Technology,7.82,6.61,6.61,10.0,20.6,20.3,6.23,4.25,4.25,10,90892.0,5.54,4.0,True,13331.0,-6.59,13,13,18.0,19.25,False,2.97,-7.19,16164.0,True,85586.0,15.58,0.19,16943.0,12,12,True,20.0,False,19.6,72.64,-0.11,-0.26,8.22,0.41,8.38,0.18,,,,15.58
PERSISTENT,Information Technology,Computers - Software & Consulting,Information Technology,27.34,20.23,20.23,10.0,17.0,16.4,32.72,17.01,17.01,10,13935.0,23.38,4.0,True,1731.0,17.69,13,13,19.0,18.5,True,27.86,15.51,404.0,True,7147.0,24.22,0.06,1157.0,12,12,True,30.0,True,27.4,30.29,-0.37,-0.77,22.79,-1.96,29.8,3.54,,,,24.22
MPHASIS,Information Technology,Computers - Software & Consulting,Information Technology,9.98,9.4,9.4,10.0,18.4,17.4,7.51,9.69,9.69,10,15347.0,12.41,4.0,True,1799.0,3.27,13,13,19.0,18.75,True,23.21,2.88,1979.0,False,9622.0,18.7,0.21,1905.0,12,12,True,23.0,False,25.6,30.59,-9.64,-24.93,19.79,-0.99,45.26,10.64,,,,18.7
LTTS,Information Technology,IT Enabled Services,Information Technology,13.68,15.08,15.08,10.0,19.6,18.6,8.99,15.05,15.05,10,11752.0,10.21,4.0,True,1258.0,-5.31,13,13,18.0,16.5,False,28.55,-6.24,630.0,False,6189.0,20.33,0.1,1481.0,11,11,True,28.0,False,31.2,73.58,-0.08,-0.17,4.22,0.03,14.57,0.27,,,,20.33
COFORGE,Information Technology,Computers - Software & Consulting,Information Technology,23.56,17.65,17.65,10.0,16.0,16.7,14.87,22.6,22.6,10,15273.0,28.55,4.0,False,1385.0,16.02,13,13,17.0,16.5,True,7.47,15.81,972.0,False,6895.0,20.09,0.14,1237.0,12,12,True,20.0,False,27.4,0.0,0.0,0.0,34.53,-8.02,53.67,5.81,,,,20.09
HAPPSTMNDS,Information Technology,Computers - Software & Consulting,Information Technology,24.18,,23.18,6.0,22.4,,20.77,,53.76,6,2257.0,10.73,4.0,False,185.0,-20.0,13,13,18.0,16.75,True,2.65,-19.45,1274.0,False,1628.0,11.36,0.78,236.0,7,7,True,15.0,False,26.8,44.21,-0.02,-6.03,5.89,0.55,9.62,3.54,,,,11.36
