Symbol,Sector,Industry,Broad Sector,TTM Revenue,Revenue CAGR 5Y,Revenue CAGR 10Y,Revenue CAGR Max,Revenue CAGR Years,TTM Profit,Profit CAGR 5Y,Profit CAGR 10Y,Profit CAGR Max,Profit CAGR Years,Avg OPM 5Y,Avg OPM 10Y,Revenue YoY Q,Revenue Consecutive YoY,Revenue Accelerating,Profit YoY Q,Profit Positive Q,Total Quarters,Latest OPM Q,Avg OPM 4Q,Margin Improving,Latest EPS Q,EPS YoY Growth,Latest Debt,Debt Reducing,Latest Equity,Debt to Equity,ROE,Latest Operating CF,CF Positive Years,CF Total Years,CF Growing,CF Consistency,Latest ROCE,ROCE Improving,Avg ROCE 5Y,Final ROE,Promoter Holding,Promoter Change 4Q,Promoter Change 8Q,FII Holding,FII Change 4Q,DII Holding,DII Change 4Q,ROE from Ratios,ROE Avg 5Y,ROE Improving
20MICRONS,Metals & Mining,Industrial Minerals,Commodities,913.0,11.53,9.88,9.78,11.0,62.0,20.9,,,11.0,12.8,13.1,0.0,0.0,True,15.38,13.0,13.0,13.0,13.25,False,4.24,16.16,163.0,False,455.0,0.36,13.63,32.0,12.0,12.0,False,100.0,19.0,False,18.8,13.63,45.04,0.0,0.09,0.26,-0.61,0.07,0.05,,,
360ONE,Financial Services,Stockbroking & Allied,Financial Services,3684.0,19.35,,11.63,7.0,1015.0,38.25,,15.07,7.0,59.8,59.8,51.41,4.0,True,18.48,13.0,13.0,61.0,60.5,True,8.08,13.48,13765.0,False,9348.0,1.47,10.86,-2411.0,4.0,8.0,False,50.0,15.0,True,13.0,10.86,6.25,-8.51,-11.53,65.51,-0.65,10.82,1.09,,,
3IINFOLTD,Information Technology,Computers - Software & Consulting,Information Technology,726.0,0.79,-5.97,-5.21,11.0,25.0,-18.14,,,11.0,-3.6,-3.8,-5.11,0.0,False,-87.89,6.0,13.0,0.22,-0.09,False,0.1,-87.95,35.0,True,327.0,0.11,7.65,28.0,10.0,12.0,False,83.3,5.0,True,-1.2,7.65,,,,0.32,-0.46,14.26,7.06,,,
3MINDIA,Diversified,Diversified,Diversified,4189.0,6.78,,7.53,6.0,583.0,9.76,,9.78,6.0,14.0,15.1,-0.29,0.0,False,21.71,13.0,13.0,20.0,19.0,True,139.5,21.62,18.0,True,2147.0,0.01,27.15,643.0,7.0,7.0,True,100.0,41.0,True,25.8,27.15,75.0,0.0,0.0,3.5,-0.51,8.39,0.23,,,
5PAISA,Financial Services,Stockbroking & Allied,Financial Services,360.0,27.23,,63.64,8.0,68.0,,,,8.0,25.6,-27.9,-7.06,0.0,True,-25.0,13.0,13.0,34.0,31.5,True,2.62,-24.28,291.0,True,626.0,0.46,10.86,98.0,4.0,9.0,True,44.4,14.0,True,11.6,10.86,32.78,0.02,-0.06,12.36,-9.23,0.01,-0.24,,,
63MOONS,Information Technology,Computers - Software & Consulting,Information Technology,47.0,-26.01,-13.9,-20.27,11.0,-47.0,,,,11.0,-124.0,-98.3,125.0,4.0,True,,6.0,13.0,-237.0,-323.5,True,-4.29,18.51,5.0,False,3494.0,0.0,-1.35,-143.0,2.0,12.0,False,16.7,-2.0,False,0.8,-1.35,45.63,0.0,0.0,1.08,-0.47,0.0,-0.01,,,
AAATECH,Services,Consulting Services,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.38,-37.13,-37.13,34.1,34.1,,,,,
AADHARHFC,Financial Services,Housing Finance Company,Financial Services,3108.0,17.49,,16.15,6.0,912.0,37.0,,33.38,6.0,,,18.17,4.0,True,17.57,12.0,12.0,,,,6.48,16.55,25083.0,False,6894.0,3.64,13.23,-3027.0,0.0,7.0,False,0.0,,,,17.0,75.19,-0.55,-1.29,6.19,1.89,8.45,-0.82,17.0,16.0,True
AAREYDRUGS,Healthcare,Pharmaceuticals,Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.05,-5.75,-10.99,3.86,1.52,,,,,
AARON,Capital Goods,Industrial Products,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.06,0.0,0.0,,,0.0,-0.52,,,
AARTECH,Capital Goods,Heavy Electrical Equipment,Industrials,36.35,29.19,,20.61,7.0,2.76,,,20.23,7.0,6.4,4.4,-24.54,0.0,False,-66.3,10.0,13.0,48.24,11.96,True,0.19,-67.24,5.4,False,33.85,0.16,8.15,-1.52,4.0,8.0,True,50.0,5.64,False,5.5,8.15,52.75,0.03,0.07,0.0,0.0,0.0,-1.39,,,
AARTIDRUGS,Healthcare,Pharmaceuticals,Healthcare,2387.0,5.74,8.08,15.25,11.0,168.0,3.57,8.11,19.35,11.0,13.8,14.6,8.08,4.0,False,10.81,13.0,13.0,9.0,12.25,False,4.44,9.36,573.0,False,1468.0,0.39,11.44,245.0,12.0,12.0,True,100.0,13.0,False,19.6,11.44,55.03,-0.35,-2.44,2.15,-0.13,10.12,1.35,,,
AARTIIND,Chemicals,Specialty Chemicals,Commodities,7271.0,11.68,9.67,9.73,11.0,331.0,-9.56,4.76,6.65,11.0,19.0,19.9,25.77,2.0,False,189.13,13.0,13.0,14.0,13.5,True,3.67,188.98,3973.0,False,5712.0,0.7,5.79,1242.0,12.0,12.0,False,100.0,6.0,False,11.6,5.79,42.14,-0.21,-1.4,6.7,-0.55,18.22,0.29,,,
AARTIPHARM,Healthcare,Pharmaceuticals,Healthcare,2115.0,,,,4.0,272.0,,,,4.0,19.5,19.5,-19.7,0.0,False,-35.14,13.0,13.0,24.0,23.0,False,5.29,-35.17,659.0,False,2046.0,0.32,13.29,332.0,3.0,5.0,True,60.0,17.0,True,17.2,13.29,43.1,-1.55,-3.36,7.69,-0.95,7.66,-2.7,,,
AARTISURF,Chemicals,Specialty Chemicals,Commodities,659.0,15.12,,15.12,5.0,15.0,49.63,,49.63,5.0,8.2,8.0,27.65,4.0,True,357.5,13.0,13.0,6.11,6.62,False,4.32,354.74,118.0,False,236.0,0.5,6.36,11.0,6.0,6.0,False,100.0,8.0,False,10.8,6.36,49.88,-0.04,0.07,0.0,0.0,0.3,-0.5,,,
AARVI,Services,Diversified Commercial Services,Services,510.0,18.53,16.06,16.07,11.0,10.0,7.39,5.24,6.5,11.0,4.0,4.7,27.2,4.0,False,69.2,13.0,13.0,3.2,3.26,True,2.71,69.37,32.0,False,133.0,0.24,7.52,-2.0,7.0,12.0,False,58.3,11.0,False,13.6,7.52,73.53,-0.05,-0.01,0.01,0.01,,,,,
AAVAS,Financial Services,Housing Finance Company,Financial Services,2018.0,23.23,,26.43,6.0,491.0,22.78,,31.96,6.0,,,21.33,4.0,False,11.81,13.0,13.0,,,,18.0,12.15,16519.0,False,3773.0,4.38,13.01,-1987.0,0.0,7.0,False,0.0,,,,14.0,48.95,22.48,9.85,24.72,-9.25,14.3,-11.39,14.0,13.6,False
ABB,Capital Goods,Heavy Electrical Equipment,Industrials,13203.0,,,21.02,3.0,1668.0,,,108.13,3.0,11.0,11.0,22.15,4.0,False,-1.59,11.0,11.0,15.0,15.75,False,20.43,-1.73,85.0,True,7836.0,0.01,21.29,1220.0,3.0,4.0,True,75.0,30.0,,20.0,21.29,75.0,0.0,0.0,7.64,-4.21,9.15,3.45,,,
ABBOTINDIA,Healthcare,Pharmaceuticals,Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.99,0.0,0.0,0.19,0.02,9.0,-0.01,,,
ABCAPITAL,Financial Services,Investment Company,Financial Services,40632.0,19.47,31.1,31.1,10.0,3410.0,31.54,27.14,27.14,10.0,31.2,38.7,27.41,4.0,True,33.43,13.0,13.0,36.0,36.5,True,3.61,32.72,156546.0,False,32181.0,4.86,10.6,-27935.0,2.0,11.0,False,18.2,9.0,False,9.2,10.6,68.57,-0.28,-0.41,5.15,-3.42,14.67,5.15,,,
ABCOTS,Textiles,Other Textile Products,Consumer Discretionary,298.0,,,32.79,2.0,10.0,,,123.61,2.0,8.7,8.7,30.37,1.0,True,-19.66,9.0,9.0,12.21,14.51,True,1.49,-62.28,137.0,False,148.0,0.93,6.76,-16.0,0.0,2.0,,0.0,10.0,,10.0,6.76,52.5,17.59,17.59,0.12,0.12,,,,,
ABDL,Fast Moving Consumer Goods,Breweries & Distilleries,Fast Moving Consumer Goods,3520.0,3.28,,3.28,5.0,195.0,71.88,,71.88,5.0,8.0,8.0,2.98,4.0,False,12.28,8.0,12.0,14.0,13.5,False,2.38,16.1,1056.0,False,1558.0,0.68,12.52,-678.0,5.0,6.0,False,83.3,21.0,True,14.2,12.52,80.91,0.0,0.0,3.36,0.81,4.61,0.6,,,
ABFRL,Consumer Services,Speciality Retail,Consumer Discretionary,7351.0,-3.51,,-1.64,6.0,-456.0,,,,6.0,10.8,10.7,7.86,4.0,False,,1.0,13.0,13.0,8.5,True,-1.25,160.42,5665.0,True,6252.0,0.91,-7.29,1644.0,7.0,7.0,True,100.0,-3.0,False,-0.8,-7.29,46.61,-2.63,-8.84,18.36,0.01,7.9,-6.66,,,
ABINFRA,Construction,Civil Construction,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.95,-6.19,-5.87,0.03,0.03,,,,,
ABREL,Forest Materials,Paper & Paper Products,Commodities,1219.0,-18.66,,-20.51,8.0,-157.0,,,,8.0,11.2,14.4,-60.29,0.0,True,,6.0,13.0,-112.0,-56.0,False,-6.52,79.61,5490.0,False,3780.0,1.45,-4.15,-1293.0,5.0,9.0,False,55.6,-0.0,False,3.6,-4.15,50.21,0.0,0.0,8.96,-0.57,16.9,1.57,,,
ABSLAMC,Financial Services,Asset Management Company,Financial Services,1982.0,9.92,,8.75,8.0,931.0,13.51,,19.56,8.0,63.4,55.4,7.42,4.0,False,20.54,13.0,13.0,61.0,59.5,True,9.33,19.92,69.0,True,3564.0,0.02,26.12,708.0,8.0,9.0,True,88.9,36.0,True,38.8,26.12,74.82,-0.08,-11.66,6.05,1.01,10.79,-0.72,,,
ACC,Construction Materials,Cement & Cement Products,Commodities,21762.0,6.81,6.45,6.34,11.0,2402.0,11.75,7.53,7.4,11.0,14.8,14.4,8.56,4.0,False,-63.0,13.0,13.0,11.0,13.0,False,21.52,-62.99,485.0,False,19933.0,0.02,12.05,1711.0,11.0,12.0,True,91.7,17.0,True,15.6,12.05,56.69,0.0,0.0,5.99,0.85,21.37,-3.29,,,
ACCELYA,Information Technology,Computers - Software & Consulting,Information Technology,529.0,5.13,5.73,4.77,11.0,129.0,8.2,6.77,3.98,11.0,36.0,37.3,0.0,0.0,False,-56.25,12.0,13.0,34.0,35.75,False,9.34,-56.92,87.0,False,263.0,0.33,49.05,145.0,12.0,12.0,True,100.0,54.0,False,45.4,49.05,74.66,0.0,0.0,0.3,0.07,0.05,-1.04,,,
ACE,Capital Goods,Construction Vehicles,Industrials,3327.0,23.54,18.7,16.57,11.0,409.0,51.06,55.34,56.33,11.0,11.6,9.1,-2.29,0.0,False,3.57,13.0,13.0,15.0,15.25,False,9.78,4.26,143.0,False,1783.0,0.08,22.94,412.0,12.0,12.0,True,100.0,40.0,True,30.0,22.94,65.42,0.01,-1.34,10.4,-1.5,1.76,0.0,,,
ACI,Chemicals,Specialty Chemicals,Commodities,1041.0,,,14.39,4.0,162.0,,,,4.0,34.8,34.8,5.37,1.0,True,-50.0,13.0,13.0,21.0,25.25,False,1.91,-50.9,281.0,False,1904.0,0.15,8.51,176.0,4.0,4.0,False,100.0,13.0,False,27.7,8.51,53.43,-0.01,-0.03,11.08,0.43,25.26,2.4,,,
ACL,Construction Materials,Cement & Cement Products,Commodities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,0.0,-5.0,,,0.34,0.0,,,
