Symbol,Sector,Historical Score,Peer Score,Quality Score,Promoter Holding %,FII + DII %,Final Score
PERSISTENT,Information Technology,37.0,28.0,11,30.29,52.59,76.0
CHOLAFIN,Financial Services,40.0,26.3,9,49.72,44.1,75.3
MUTHOOTFIN,Financial Services,34.0,28.6,12,73.35,22.88,74.6
FINEORG,Chemicals,31.0,26.0,16,75.0,16.23,73.0
TITAN,Consumer Durables,34.0,24.0,11,52.9,30.38,69.0
DHANUKA,Chemicals,28.0,26.0,15,69.72,20.92,69.0
PIIND,Chemicals,33.0,23.0,12,46.09,46.91,68.0
BEL,Capital Goods,33.0,24.0,11,51.14,38.98,68.0
ABSLAMC,Financial Services,26.0,26.0,15,74.82,16.84,67.0
SUNPHARMA,Healthcare,27.0,25.0,13,54.48,36.84,65.0
COFORGE,Information Technology,31.0,22.0,11,0.0,88.2,64.0
DIVISLAB,Healthcare,22.0,30.0,12,51.88,39.26,64.0
GARFIBRES,Textiles,24.0,24.0,16,53.36,19.51,64.0
PARAS,Capital Goods,27.2,24.0,12,53.2,6.2,63.2
HAPPSTMNDS,Information Technology,28.8,20.0,14,44.21,15.51,62.8
TCS,Information Technology,24.0,23.0,15,71.77,23.18,62.0
HAL,Capital Goods,29.0,20.0,13,71.64,20.54,62.0
INFY,Information Technology,24.0,24.0,12,14.52,71.35,60.0
LTTS,Information Technology,21.0,23.0,16,73.58,18.79,60.0
GRANULES,Healthcare,20.0,28.0,12,38.02,32.3,60.0
HAVELLS,Consumer Durables,26.0,20.0,13,59.38,34.49,59.0
VINATIORGA,Chemicals,16.0,26.0,16,74.29,13.61,58.0
HDFCBANK,Financial Services,28.0,20.6,8,0.0,84.67,56.6
RELIANCE,"Oil, Gas & Consumable Fuels",26.0,16.0,13,50.0,39.19,55.0
IPCALAB,Healthcare,20.0,21.0,12,44.72,47.61,53.0
WONDERLA,Consumer Services,20.0,16.0,15,62.25,16.71,51.0
GALAXYSURF,Chemicals,18.0,16.0,16,70.91,17.13,50.0
VGUARD,Consumer Durables,24.0,14.0,11,53.28,35.44,49.0
SYMPHONY,Consumer Durables,12.0,21.7,15,73.42,14.04,48.7
SUPRAJIT,Automobile and Auto Components,16.0,16.0,13,45.14,23.89,45.0
WIPRO,Information Technology,17.0,11.0,16,72.64,16.6,44.0
CREDITACC,Financial Services,10.4,21.3,11,66.28,24.91,42.7
HIMATSEIDE,Textiles,18.0,8.0,14,37.48,17.81,40.0
APLLTD,Healthcare,10.0,14.0,15,69.74,20.4,39.0
MIDHANI,Capital Goods,8.0,11.0,16,74.0,9.17,35.0
MANAPPURAM,Financial Services,10.0,14.9,7,35.25,39.93,31.9
RALLIS,Chemicals,7.0,10.0,13,55.08,23.38,30.0
