Symbol,Sector,Historical Score,Peer Score,Quality Score,Promoter Holding %,FII + DII %,Final Score
SOLARINDS,Chemicals,39.0,34.0,16,73.15,19.65,89.0
BLS,Consumer Services,38.0,33.0,18,70.39,9.29,89.0
ALKYLAMINE,Chemicals,36.0,33.0,18,72.03,6.46,87.0
KPEL,Power,38.0,35.0,14,44.88,1.54,87.0
3BBLACKBIO,Healthcare,38.0,34.7,14,41.27,4.44,86.7
SIGMA,Information Technology,32.0,38.0,16,73.22,0.03,86.0
NAM-INDIA,Financial Services,38.0,33.0,15,72.05,21.73,86.0
INDIAMART,Consumer Services,37.0,36.6,12,49.12,34.69,85.6
CDSL,Financial Services,40.0,33.0,12,15.0,27.52,85.0
CAPLIPOINT,Healthcare,35.0,32.0,18,70.57,8.63,85.0
NATCOPHARM,Healthcare,36.0,35.0,13,49.48,20.55,84.0
LLOYDSME,Metals & Mining,37.0,33.0,14,61.65,3.97,84.0
SANDUMA,"Oil, Gas & Consumable Fuels",38.0,29.7,16,74.22,1.87,83.7
SHARDAMOTR,Automobile and Auto Components,37.0,31.0,15,64.31,13.93,83.0
FCL,Chemicals,36.0,30.9,16,62.3,4.22,82.9
SIKA,Capital Goods,33.0,33.1,16,71.72,3.18,82.1
BANCOINDIA,Automobile and Auto Components,34.0,31.0,17,67.88,4.22,82.0
KSOLVES,Information Technology,32.0,34.0,16,58.94,0.13,82.0
ADANIPORTS,Services,38.0,27.0,17,68.02,26.99,82.0
POLYCAB,Capital Goods,35.0,33.0,14,61.5,25.95,82.0
KKCL,Textiles,27.0,38.0,16,74.28,11.16,81.0
EICHERMOT,Automobile and Auto Components,35.0,34.0,12,49.06,41.65,81.0
ACE,Capital Goods,36.0,28.0,17,65.42,12.16,81.0
AGIIL,Realty,38.0,29.0,14,71.29,4.81,81.0
VBL,Fast Moving Consumer Goods,37.0,29.7,14,59.44,33.87,80.7
IKS,Information Technology,31.2,33.0,16,63.72,13.62,80.2
LUMAXTECH,Automobile and Auto Components,36.0,30.0,14,55.98,24.52,80.0
TVSHLTD,Financial Services,38.0,28.0,14,74.45,12.99,80.0
ECLERX,Services,36.0,30.0,14,54.53,35.97,80.0
PRUDENT,Financial Services,32.0,35.0,13,55.31,38.45,80.0
FORCEMOT,Automobile and Auto Components,35.0,29.7,15,61.63,12.26,79.7
MENONBE,Automobile and Auto Components,29.6,34.0,16,68.44,0.38,79.6
DSSL,Information Technology,36.0,28.6,15,60.95,0.6,79.6
GOKULAGRO,Fast Moving Consumer Goods,34.0,28.0,17,74.24,1.59,79.0
KPL,Healthcare,36.0,30.0,13,54.82,0.83,79.0
SBCL,Capital Goods,37.0,30.0,12,33.18,22.3,79.0
ASHOKA,Construction,34.0,32.0,13,54.47,21.91,79.0
LATENTVIEW,Information Technology,34.0,28.0,17,65.1,7.92,79.0
PIXTRANS,Capital Goods,32.0,30.0,17,62.06,2.53,79.0
MONARCH,Financial Services,33.0,30.9,15,53.41,1.59,78.9
