Symbol,Sector,Historical Score,Data Years,Maturity,Discount,Revenue Growth Score,Revenue CAGR Used,Profit Growth Score,Profit CAGR Used,OPM Score,Avg OPM 5Y,ROE Score,ROE Used,ROE
CHOLAFIN,Financial Services,40.0,10.0,Full (8Y+),0.0,10,24.3,10,32.2,,,20,,20.0
PERSISTENT,Information Technology,37.0,10.0,Full (8Y+),0.0,15,27.3,15,32.7,3.0,17.0,4,24.2,
TITAN,Consumer Durables,34.0,10.0,Full (8Y+),0.0,15,23.5,12,17.4,2.0,10.2,5,37.2,
MUTHOOTFIN,Financial Services,34.0,10.0,Full (8Y+),0.0,8,15.9,6,11.1,,,20,,20.0
PIIND,Chemicals,33.0,10.0,Full (8Y+),0.0,12,18.8,15,29.4,4.0,24.4,2,13.4,
BEL,Capital Goods,33.0,10.0,Full (8Y+),0.0,9,12.9,15,23.9,4.0,24.4,5,27.6,
COFORGE,Information Technology,31.0,10.0,Full (8Y+),0.0,15,23.6,9,14.9,3.0,16.0,4,20.1,
FINEORG,Chemicals,31.0,9.0,Full (8Y+),0.0,12,16.9,12,20.0,4.0,22.2,3,16.0,
HAL,Capital Goods,29.0,10.0,Full (8Y+),0.0,5,7.6,15,23.7,5.0,26.6,4,24.0,
HAPPSTMNDS,Information Technology,28.8,6.0,Short (5-8Y),0.2,15,24.2,15,20.8,4.0,22.4,2,11.4,
DHANUKA,Chemicals,28.0,10.0,Full (8Y+),0.0,9,12.7,12,16.1,3.0,18.4,4,21.2,
HDFCBANK,Financial Services,28.0,10.0,Full (8Y+),0.0,10,22.4,10,21.9,,,8,,14.0
PARAS,Capital Goods,27.2,6.0,Short (5-8Y),0.2,12,19.9,15,25.0,5.0,26.8,2,10.6,
SUNPHARMA,Healthcare,27.0,10.0,Full (8Y+),0.0,5,9.9,15,21.3,5.0,27.0,2,14.1,
RELIANCE,"Oil, Gas & Consumable Fuels",26.0,10.0,Full (8Y+),0.0,9,10.0,12,15.3,3.0,16.8,2,11.2,
HAVELLS,Consumer Durables,26.0,10.0,Full (8Y+),0.0,12,18.2,9,14.9,2.0,11.6,3,17.1,
ABSLAMC,Financial Services,26.0,,Full (8Y+),0.0,0,,6,13.5,,,20,,28.5
VGUARD,Consumer Durables,24.0,8.0,Full (8Y+),0.0,12,17.4,9,10.8,1.0,9.4,2,13.1,
TCS,Information Technology,24.0,10.0,Full (8Y+),0.0,9,10.2,5,8.5,5.0,27.0,5,45.1,
INFY,Information Technology,24.0,10.0,Full (8Y+),0.0,9,12.4,5,10.0,5.0,25.2,5,27.1,
GARFIBRES,Textiles,24.0,10.0,Full (8Y+),0.0,9,10.1,9,10.5,3.0,19.8,3,16.3,
DIVISLAB,Healthcare,22.0,10.0,Full (8Y+),0.0,9,11.7,5,9.7,5.0,35.0,3,16.1,
LTTS,Information Technology,21.0,10.0,Full (8Y+),0.0,9,13.7,5,9.0,3.0,19.6,4,20.3,
GRANULES,Healthcare,20.0,10.0,Full (8Y+),0.0,9,11.5,5,8.4,4.0,21.0,2,13.7,
IPCALAB,Healthcare,20.0,10.0,Full (8Y+),0.0,9,14.0,5,5.4,4.0,20.6,2,12.7,
WONDERLA,Consumer Services,20.0,10.0,Full (8Y+),0.0,9,11.1,9,10.9,2.0,14.4,0,4.3,
HIMATSEIDE,Textiles,18.0,10.0,Full (8Y+),0.0,0,3.3,15,42.4,3.0,16.0,0,3.4,
GALAXYSURF,Chemicals,18.0,10.0,Full (8Y+),0.0,9,10.2,5,5.8,2.0,12.6,2,11.1,
WIPRO,Information Technology,17.0,10.0,Full (8Y+),0.0,5,7.8,5,6.2,4.0,20.6,3,15.6,
SUPRAJIT,Automobile and Auto Components,16.0,10.0,Full (8Y+),0.0,12,16.0,0,-1.0,2.0,12.0,2,10.2,
VINATIORGA,Chemicals,16.0,5.0,Short (5-8Y),0.2,12,16.9,0,3.9,5.0,28.6,3,15.1,
SYMPHONY,Consumer Durables,12.0,10.0,Full (8Y+),0.0,5,7.4,0,3.1,3.0,15.8,4,20.4,
CREDITACC,Financial Services,10.4,6.0,Short (5-8Y),0.2,10,27.6,3,9.7,,,0,,8.0
APLLTD,Healthcare,10.0,10.0,Full (8Y+),0.0,5,7.7,0,-6.2,3.0,17.0,2,11.8,
MANAPPURAM,Financial Services,10.0,10.0,Full (8Y+),0.0,6,12.9,0,-4.0,,,4,,10.0
MIDHANI,Capital Goods,8.0,6.0,Short (5-8Y),0.2,5,8.5,0,-6.8,5.0,25.8,0,7.6,
RALLIS,Chemicals,7.0,10.0,Full (8Y+),0.0,5,9.4,0,-11.2,2.0,12.6,0,9.7,
