Symbol,Sector Score,Cap Score
20MICRONS,7.3,9.0
360ONE,5.4,5.4
3MINDIA,10.0,10.0
5PAISA,5.0,5.6
AADHARHFC,8.0,8.6
AARTIDRUGS,4.6,4.6
AARTIPHARM,3.1,3.2
AAVAS,7.0,7.5
ABB,5.8,5.9
ABCAPITAL,7.1,7.1
ABSLAMC,8.5,8.5
ACC,7.2,7.2
ACCELYA,6.5,7.0
ACE,9.9,10.0
ACI,3.7,3.8
ADANIENT,7.4,7.4
ADANIPORTS,10.0,10.0
ADANIPOWER,7.3,8.3
ADFFOODS,7.6,8.1
ADOR,7.6,7.6
ADVENZYMES,5.1,5.1
AEGISLOG,6.6,7.9
AEROFLEX,9.1,9.1
AFCONS,4.7,4.9
AFFLE,8.6,9.3
AFSL,4.9,5.3
AGARIND,7.8,9.6
AGI,7.2,7.2
AGIIL,10.0,10.0
AHLUCONT,8.5,8.5
AIAENG,6.5,6.5
AIRAN,7.8,7.8
AJANTPHARM,8.3,9.7
AKSHARCHEM,5.1,6.3
AKUMS,6.8,6.9
ALEMBICLTD,7.7,7.7
ALKEM,6.2,7.3
ALKYLAMINE,9.8,10.0
ALLDIGI,8.2,10.0
AMBUJACEM,7.8,7.8
AMNPLST,6.5,8.1
AMRUTANJAN,7.3,7.3
ANANDRATHI,9.1,9.1
ANUP,5.3,5.3
APARINDS,8.8,8.8
APLAPOLLO,8.4,8.4
APLLTD,4.6,4.7
APOLLOHOSP,7.0,8.2
APOLLOTYRE,5.5,5.7
ARE&M,5.3,5.4
ARIHANTCAP,7.3,8.1
ARROWGREEN,8.4,9.2
ARVIND,5.8,6.2
ASAHIINDIA,6.2,6.4
ASALCBR,8.2,8.9
ASHAPURMIN,6.3,9.0
ASHOKA,10.0,10.0
ASIANPAINT,7.7,8.2
ASKAUTOLTD,7.8,7.9
ASTERDM,5.7,6.6
ASTRAL,8.3,8.3
ATGL,8.3,10.0
ATUL,4.6,4.7
AUBANK,5.2,5.2
AURIONPRO,8.1,8.8
AUROPHARMA,4.4,5.1
AVANTEL,8.6,8.6
AVANTIFEED,6.8,7.0
AWHCL,7.8,9.2
AXISBANK,6.3,6.3
AXISCADES,7.2,7.3
BAJAJ-AUTO,7.3,7.5
BAJAJCON,5.9,6.4
BAJAJFINSV,8.6,8.6
BAJAJHLDNG,5.8,5.8
BAJAJINDEF,5.5,6.0
BAJFINANCE,8.9,8.9
BALAMINES,6.1,6.5
BALKRISIND,7.5,7.7
BALRAMCHIN,4.8,4.9
BALUFORGE,6.0,6.0
BANCOINDIA,9.9,10.0
BANKBARODA,6.8,6.8
BANKINDIA,4.6,4.6
BASF,7.6,7.7
BATAINDIA,5.0,5.6
BBOX,4.8,5.3
BBTC,7.4,7.6
BCLIND,8.7,10.0
BECTORFOOD,7.5,7.7
BEL,9.3,9.3
BEPL,7.4,7.9
BERGEPAINT,8.1,8.6
BETA,8.5,8.5
BHARATFORG,6.9,7.0
BHARATRAS,4.0,4.3
BHARTIARTL,6.6,6.6
BIKAJI,8.0,8.2
BIRLAMONEY,6.5,7.2
BLS,10.0,10.0
BLSE,5.2,5.7
BLUEDART,5.9,6.0
BLUESTARCO,8.5,9.0
BOROLTD,7.1,7.1
BOSCHLTD,7.7,7.9
BPCL,6.9,8.3
BRIGADE,7.7,10.0
BRITANNIA,7.1,7.1
BSOFT,6.0,6.6
CAMPUS,8.7,9.8
CAMS,8.0,8.6
CANBK,6.7,6.7
CAPACITE,7.8,7.8
CAPLIPOINT,9.8,10.0
CARBORUNIV,5.1,5.2
CARRARO,5.3,5.3
CARYSIL,9.7,9.7
CCL,8.6,8.7
CDSL,9.9,9.9
CEATLTD,6.5,6.6
CELLO,6.2,7.0
CENTRALBK,4.1,4.1
CENTURYPLY,6.3,7.1
CERA,7.8,8.8
CESC,4.7,5.4
CGPOWER,5.8,5.9
CHAMBLFERT,6.4,6.6
CHEMBOND,5.5,6.8
CHOICEIN,7.9,8.5
CHOLAFIN,9.0,9.0
CHOLAHLDNG,8.3,8.3
CIEINDIA,6.7,6.7
CIGNITITEC,7.7,8.3
CIPLA,6.8,8.0
COALINDIA,7.8,9.3
COCHINSHIP,5.7,5.7
COFORGE,7.3,7.9
COLPAL,6.3,6.3
COMSYN,5.3,5.8
CONCOR,6.3,6.3
CONCORDBIO,8.2,8.4
CONTROLPR,8.8,8.8
COROMANDEL,6.9,6.9
COSMOFIRST,4.4,4.4
CREDITACC,4.5,4.9
CRISIL,8.8,8.8
CUMMINSIND,8.8,8.8
CUPID,5.8,5.9
CYBERTECH,7.9,7.9
CYIENT,5.8,6.3
DABUR,5.7,5.7
DALMIASUG,7.3,7.9
DAMCAPITAL,5.9,6.5
DATAMATICS,6.6,7.2
DBCORP,6.9,10.0
DCMSHRIRAM,6.2,10.0
DCMSRIND,3.5,4.0
DEEPAKFERT,6.9,7.0
DEEPAKNTR,5.8,6.0
DELTACORP,4.8,5.9
DENTA,6.1,6.1
