Symbol,Group,Bottom_Rev_Prob,Top_Rev_Prob,Bottom_Rev_Flag,Top_Rev_Flag,Bullish_Cont_Prob,Bearish_Cont_Prob,Forecast_25d_Pct,Forecast_45d_Pct,Forecast_180d_Pct,Forecast_25d_Price,Forecast_45d_Price,Forecast_180d_Price,ML_Prediction,ML_Confidence
20MICRONS,Industrial,83.5,0.0,True,False,0.0,85.0,1.3,3.0,7.0,153.02,155.57,161.62,Bullish,83.5
360ONE,Financial,72.6,0.0,True,False,0.0,0.1,2.5,4.1,20.3,1066.12,1083.75,1251.45,Reversal,72.6
3MINDIA,Industrial,65.3,0.0,True,False,0.0,0.1,0.5,1.9,8.5,32446.66,32898.28,35021.43,Reversal,65.3
5PAISA,Financial,79.1,0.0,True,False,0.0,86.1,2.5,4.1,20.3,298.75,303.69,350.69,Reversal,79.1
AADHARHFC,Financial,72.7,0.0,True,False,0.0,85.6,2.5,4.1,20.3,460.88,468.5,541.0,Reversal,72.7
AARTIDRUGS,Healthcare,79.0,0.0,True,False,0.0,87.7,0.2,1.4,13.6,343.95,347.79,389.83,Reversal,79.0
AARTIPHARM,Healthcare,84.6,0.0,True,False,0.0,73.5,1.8,1.3,7.9,656.03,652.9,695.51,Reversal,84.6
AAVAS,Financial,83.3,0.0,True,False,0.0,85.7,2.5,4.1,20.3,1125.03,1143.63,1320.6,Bullish,83.3
ABB,Industrial,0.0,68.1,False,True,75.7,0.0,1.9,3.4,16.2,6414.71,6511.44,7314.95,Bullish Continual,75.7
ABCAPITAL,Financial,72.2,0.0,True,False,0.0,0.0,2.6,4.6,20.3,319.2,325.49,374.32,Reversal,72.2
ABSLAMC,Financial,0.0,70.5,False,True,77.9,0.0,2.6,4.6,20.3,968.77,987.86,1136.06,Bullish Continual,77.9
ACC,Industrial,74.7,0.0,True,False,0.0,84.1,1.2,2.5,5.2,1398.52,1416.11,1453.87,Reversal,74.7
ACCELYA,IT,0.0,0.0,False,False,0.0,65.9,0.3,0.2,13.2,1184.83,1184.63,1338.33,Reversal,0.0
ACE,Industrial,74.2,0.0,True,False,0.0,87.5,0.4,1.8,3.6,832.18,843.83,859.31,Bullish,74.2
ACI,Chemicals,0.0,74.1,False,True,0.2,0.0,2.3,2.6,9.6,615.16,616.66,658.68,Bullish Continual,0.2
ADANIENT,Industrial,74.9,0.0,True,False,0.0,86.0,0.0,2.7,9.4,1927.86,1979.28,2108.88,Reversal,74.9
ADANIPORTS,Industrial,75.0,0.0,True,False,0.0,0.1,0.7,1.7,10.2,1375.15,1388.41,1504.72,Reversal,75.0
ADANIPOWER,Industrial,0.0,74.4,False,True,52.9,0.0,2.8,4.7,21.7,155.74,158.61,184.38,Bullish Continual,52.9
ADFFOODS,Consumer,84.0,0.0,True,False,0.0,65.8,2.4,1.1,-2.0,178.69,176.39,170.96,Reversal,84.0
ADOR,Industrial,76.2,0.0,True,False,0.0,86.9,0.1,1.6,6.2,917.98,931.76,973.86,Bullish,76.2
ADVENZYMES,Healthcare,85.9,0.0,True,False,0.0,86.2,2.8,6.2,21.4,280.28,289.4,330.89,Bullish,85.9
AEGISLOG,Industrial,73.8,0.0,True,False,0.0,85.6,0.1,1.7,4.9,612.12,622.26,641.38,Bullish,73.8
AEROFLEX,Industrial,0.0,0.0,False,False,77.9,0.0,2.5,5.1,18.9,239.59,245.78,278.03,Bullish Continual,77.9
AFCONS,Industrial,85.4,0.0,True,False,0.0,82.1,3.5,4.7,0.6,288.63,291.81,280.55,Bullish,85.4
AFFLE,IT,80.5,0.0,True,False,0.0,80.3,2.0,1.3,10.2,1311.88,1302.45,1416.29,Reversal,80.5
AFSL,Financial,0.0,0.0,False,False,0.0,0.2,2.5,4.1,51.1,205.93,209.33,303.65,Bullish,0.0
AGARIND,Chemicals,83.8,0.0,True,False,0.0,51.2,4.2,2.9,-2.3,429.91,424.41,402.99,Reversal,83.8
AGI,Industrial,89.3,0.0,True,False,0.0,82.3,4.4,8.9,9.5,521.19,543.38,546.35,Bullish,89.3
AGIIL,Industrial,0.0,79.0,False,True,81.7,0.0,4.7,8.3,17.4,326.41,337.51,365.89,Bullish Continual,81.7
AHLUCONT,Industrial,85.5,0.0,True,False,0.0,82.7,2.5,5.0,5.4,742.78,761.27,763.74,Reversal,85.5
AIAENG,Industrial,75.4,0.0,True,False,0.0,0.1,0.1,2.1,7.2,3411.61,3480.86,3656.5,Reversal,75.4
AIRAN,IT,81.1,0.0,True,False,0.0,90.4,0.3,2.9,22.1,15.27,15.66,18.58,Reversal,81.1
AJANTPHARM,Healthcare,0.0,0.0,False,False,73.8,0.0,1.9,3.1,8.4,2960.68,2995.42,3148.17,Bullish,0.0
AKSHARCHEM,Chemicals,78.7,0.0,True,False,0.0,84.2,1.4,5.5,-5.4,186.68,194.21,174.05,Reversal,78.7
AKUMS,Healthcare,0.0,0.1,False,False,0.0,0.0,1.7,1.6,14.0,491.49,491.03,551.18,Bullish,0.0
ALEMBICLTD,Industrial,80.4,0.0,True,False,0.0,85.1,0.8,2.2,6.3,80.53,81.69,84.93,Reversal,80.4
ALKEM,Healthcare,0.0,0.0,False,False,0.0,0.1,1.3,2.3,8.7,5324.6,5379.12,5716.65,Bullish,0.0
ALKYLAMINE,Chemicals,66.0,0.0,True,False,0.0,87.0,0.2,1.9,8.3,1294.45,1316.35,1399.51,Reversal,66.0
ALLDIGI,Industrial,75.3,0.0,True,False,0.0,86.3,0.2,1.4,3.6,735.3,744.31,760.39,Reversal,75.3
AMBUJACEM,Industrial,81.6,0.0,True,False,0.0,83.9,1.3,4.3,6.9,426.11,438.68,449.44,Reversal,81.6
AMNPLST,Chemicals,77.6,0.0,True,False,0.0,85.9,1.8,3.4,26.7,154.74,157.03,192.52,Bullish Continual,0.0
AMRUTANJAN,Healthcare,85.5,0.0,True,False,0.0,79.1,3.5,4.1,17.1,533.76,536.74,603.48,Bullish,85.5
ANANDRATHI,Financial,0.0,0.0,False,False,0.1,0.0,2.6,4.6,20.3,3080.08,3140.77,3611.96,Bullish,0.0
ANUP,Industrial,86.2,0.0,True,False,0.0,85.7,3.4,3.0,10.3,1642.45,1635.37,1751.89,Bullish Continual,0.0
APARINDS,Industrial,0.0,0.0,False,False,77.2,0.0,3.4,5.5,22.7,9998.06,10201.4,11864.12,Bullish,0.0
APLAPOLLO,Industrial,74.9,0.0,True,False,75.1,0.0,1.6,3.0,11.6,2003.95,2032.61,2201.46,Bullish,74.9
APLLTD,Healthcare,81.9,0.0,True,False,0.0,77.3,2.3,2.4,13.2,692.56,693.28,766.96,Reversal,81.9
APOLLOHOSP,Healthcare,0.0,0.0,False,False,0.1,0.0,1.6,2.0,9.9,7479.81,7510.47,8092.53,Bullish,0.0
APOLLOTYRE,Industrial,78.3,0.0,True,False,0.0,83.0,1.1,1.7,8.3,425.31,428.0,455.88,Bullish,78.3
ARE&M,Industrial,73.2,0.0,True,False,0.0,86.9,-0.3,0.6,4.3,757.06,763.91,792.13,Bearish,0.0
ARIHANTCAP,Financial,86.9,0.0,True,False,0.0,87.3,2.5,4.1,20.3,69.68,70.83,81.79,Reversal,86.9
ARROWGREEN,Industrial,86.1,0.0,True,False,0.0,85.8,3.0,6.3,8.8,389.95,402.45,411.85,Bullish,86.1
ARVIND,Industrial,0.0,0.0,False,False,74.1,0.0,1.7,2.6,14.7,365.25,368.56,411.96,Bullish Continual,74.1
ASAHIINDIA,Industrial,78.3,0.0,True,False,0.0,0.2,0.9,4.0,14.9,818.07,842.64,931.58,Reversal,78.3
ASALCBR,Consumer,82.1,0.0,True,False,0.0,80.0,-0.2,1.1,7.8,726.68,735.58,784.92,Bearish,0.0
ASHAPURMIN,Industrial,93.6,0.0,True,False,0.0,75.6,8.3,13.0,29.9,544.48,568.17,653.15,Reversal,93.6
ASHOKA,Industrial,89.1,0.0,True,False,0.0,80.4,6.4,10.3,11.4,121.01,125.44,126.7,Reversal,89.1
ASIANPAINT,Consumer,74.4,0.0,True,False,0.0,82.0,0.8,2.4,5.5,2212.08,2247.52,2315.97,Reversal,74.4
ASKAUTOLTD,Industrial,76.4,0.0,True,False,0.0,86.7,0.5,1.0,5.4,411.19,413.16,431.41,Bullish,76.4
ASTERDM,Healthcare,0.0,0.0,False,False,0.1,0.0,2.0,3.7,11.0,639.33,649.95,695.98,Bullish,0.0
ASTRAL,Industrial,0.0,0.0,False,False,75.9,0.0,1.9,3.2,17.7,1663.37,1683.54,1920.23,Bullish,0.0
ATGL,Industrial,0.0,78.6,False,True,0.0,0.1,0.2,2.0,13.2,553.09,563.17,624.97,Bullish Continual,0.0
ATUL,Chemicals,66.6,0.0,True,False,0.0,0.0,1.0,2.4,5.2,6309.83,6392.13,6569.02,Reversal,66.6
AUBANK,Financial,69.4,0.0,True,False,0.0,0.0,2.6,4.6,20.3,924.52,942.73,1084.17,Bullish,69.4
