Symbol,Exchange,Ticker,passed,fail_reason,Price,Avg_Daily_Value_L,Market_Cap_Cr,Data_Rows
20MICRONS,NSE,20MICRONS.NS,True,,151.02,495.99,534.54,4304.0
360ONE,NSE,360ONE.NS,True,,1040.6,10101.78,42239.61,1610.0
3IINFOLTD,NSE,3IINFOLTD.NS,True,,13.82,62.49,287.09,5162.0
3MINDIA,NSE,3MINDIA.NS,True,,32270.0,1477.32,36352.38,5889.0
5PAISA,NSE,5PAISA.NS,True,,291.6,627.78,911.3,2062.0
63MOONS,NSE,63MOONS.NS,True,,531.45,916.8,2448.99,5122.0
AAATECH,NSE,AAATECH.NS,True,,93.0,49.1,119.29,1324.0
AADHARHFC,NSE,AADHARHFC.NS,True,,449.85,1868.57,19561.12,461.0
AAREYDRUGS,NSE,AAREYDRUGS.NS,True,,69.28,169.96,196.47,1143.0
AARON,NSE,AARON.NS,True,,137.74,17.94,288.52,1852.0
AARTECH,NSE,AARTECH.NS,True,,46.63,23.29,148.15,667.0
AARTIDRUGS,NSE,AARTIDRUGS.NS,True,,343.15,446.84,3133.45,5572.0
AARTIIND,NSE,AARTIIND.NS,True,,427.35,4464.3,15518.95,5893.0
AARTIPHARM,NSE,AARTIPHARM.NS,True,,644.6,1280.75,5852.62,776.0
AARTISURF,NSE,AARTISURF.NS,True,,352.85,75.57,299.34,1410.0
AARVI,NSE,AARVI.NS,True,,130.15,32.09,192.76,2088.0
AAVAS,NSE,AAVAS.NS,True,,1098.1,2779.86,8696.06,1842.0
ABB,NSE,ABB.NS,True,,6297.0,24265.48,133446.45,5893.0
ABBOTINDIA,NSE,ABBOTINDIA.NS,True,,26715.0,2107.3,56767.51,5863.0
ABCAPITAL,NSE,ABCAPITAL.NS,True,,311.25,21289.35,81531.05,2114.0
ABCOTS,NSE,ABCOTS.NS,True,,403.35,68.46,885.9,1025.0
ABDL,NSE,ABDL.NS,True,,408.45,1826.43,11424.76,429.0
ABFRL,NSE,ABFRL.NS,True,,59.98,4405.93,7295.89,3127.0
ABINFRA,NSE,ABINFRA.NS,True,,16.97,320.75,1084.03,1642.0
ABREL,NSE,ABREL.NS,True,,1165.4,2591.8,12884.56,7585.0
ABSLAMC,NSE,ABSLAMC.NS,True,,944.65,4898.67,27282.08,1100.0
ACC,NSE,ACC.NS,True,,1381.4,2541.32,25940.93,5890.0
ACCELYA,NSE,ACCELYA.NS,True,,1181.8,228.06,1769.24,5890.0
ACE,NSE,ACE.NS,True,,829.15,1638.38,9868.77,4806.0
ACI,NSE,ACI.NS,True,,601.25,851.31,7422.94,824.0
ACL,NSE,ACL.NS,True,,52.79,22.62,488.45,3791.0
ACMESOLAR,NSE,ACMESOLAR.NS,True,,246.37,2675.79,14929.33,336.0
ADANIENSOL,NSE,ADANIENSOL.NS,True,,1009.9,15476.39,121541.9,637.0
ADANIENT,NSE,ADANIENT.NS,True,,1927.1,27641.79,262458.16,5892.0
ADANIGREEN,NSE,ADANIGREEN.NS,True,,863.1,26148.61,142167.77,1917.0
ADANIPORTS,NSE,ADANIPORTS.NS,True,,1365.4,33651.16,314582.58,4516.0
ADANIPOWER,NSE,ADANIPOWER.NS,True,,151.54,31854.92,292260.69,4093.0
ADFFOODS,NSE,ADFFOODS.NS,True,,174.43,303.54,1916.35,3829.0
ADOR,NSE,ADOR.NS,True,,917.1,142.78,1596.01,5273.0
ADSL,NSE,ADSL.NS,True,,101.55,244.5,573.9,4602.0
ADVANIHOTR,NSE,ADVANIHOTR.NS,True,,51.73,31.61,478.18,4623.0
ADVENZYMES,NSE,ADVENZYMES.NS,True,,272.6,418.8,3051.12,2382.0
AEGISLOG,NSE,AEGISLOG.NS,True,,611.7,4505.64,21470.67,447.0
AEROFLEX,NSE,AEROFLEX.NS,True,,233.75,5540.03,3095.56,631.0
AERONEU,NSE,AERONEU.NS,True,,66.75,19.33,172.75,786.0
AETHER,NSE,AETHER.NS,True,,1155.55,3503.4,15331.19,940.0
AFCONS,NSE,AFCONS.NS,True,,278.75,1429.19,10252.0,343.0
AFFLE,NSE,AFFLE.NS,True,,1285.7,2999.37,18077.32,1637.0
AFFORDABLE,NSE,AFFORDABLE.NS,True,,142.09,54.85,159.8,348.0
AFSL,NSE,AFSL.NS,True,,201.0,46.39,1022.83,800.0
AGARIND,NSE,AGARIND.NS,True,,412.45,174.14,616.93,2917.0
AGARWALEYE,NSE,AGARWALEYE.NS,True,,424.35,694.38,13443.73,278.0
AGI,NSE,AGI.NS,True,,499.1,771.74,3229.05,5892.0
AGIIL,NSE,AGIIL.NS,True,,311.7,6084.22,3891.71,420.0
AHLADA,NSE,AHLADA.NS,True,,39.38,12.37,50.88,1837.0
AHLEAST,NSE,AHLEAST.NS,True,,151.39,10.93,262.75,3852.0
AHLUCONT,NSE,AHLUCONT.NS,True,,724.95,797.51,4856.26,4017.0
AIAENG,NSE,AIAENG.NS,True,,3409.6,2476.15,31818.51,5000.0
AIIL,NSE,AIIL.NS,True,,492.2,3671.64,41798.88,475.0
AIRAN,NSE,AIRAN.NS,True,,15.22,23.45,190.28,2140.0
AJANTPHARM,NSE,AJANTPHARM.NS,True,,2904.7,4219.89,36307.74,5889.0
AJAXENGG,NSE,AJAXENGG.NS,True,,471.0,386.31,5388.56,270.0
AJMERA,NSE,AJMERA.NS,True,,108.52,344.54,2137.04,4806.0
AKSHARCHEM,NSE,AKSHARCHEM.NS,True,,184.03,10.81,147.83,2219.0
AKUMS,NSE,AKUMS.NS,True,,483.4,940.68,7405.85,400.0
AKZOINDIA,NSE,AKZOINDIA.NS,True,,2885.1,1501.99,13138.84,5890.0
ALANKIT,NSE,ALANKIT.NS,True,,7.54,22.61,205.02,2649.0
ALBERTDAVD,NSE,ALBERTDAVD.NS,True,,658.5,24.53,377.62,2414.0
ALEMBICLTD,NSE,ALEMBICLTD.NS,True,,79.9,175.2,2051.69,5897.0
ALICON,NSE,ALICON.NS,True,,647.35,70.74,1057.57,4801.0
ALIVUS,NSE,ALIVUS.NS,True,,949.8,633.54,11688.63,295.0
ALKEM,NSE,ALKEM.NS,True,,5257.5,6357.43,62861.3,2530.0
ALKYLAMINE,NSE,ALKYLAMINE.NS,True,,1292.0,1326.19,6607.81,4517.0
ALLCARGO,NSE,ALLCARGO.NS,True,,8.08,446.78,1211.37,4872.0
ALLDIGI,NSE,ALLDIGI.NS,True,,733.8,82.27,1118.19,372.0
ALMONDZ,NSE,ALMONDZ.NS,True,,14.31,36.9,249.05,4381.0
ALOKINDS,NSE,ALOKINDS.NS,True,,12.84,684.25,6375.37,7584.0
ALPA,NSE,ALPA.NS,True,,60.17,10.69,126.6,4593.0
ALPHAGEO,NSE,ALPHAGEO.NS,True,,184.89,12.58,117.68,4654.0
AMBER,NSE,AMBER.NS,True,,6654.5,21656.2,23418.3,2011.0
AMBIKCO,NSE,AMBIKCO.NS,True,,1275.7,108.83,731.23,4473.0
AMBUJACEM,NSE,AMBUJACEM.NS,True,,420.55,9195.08,103952.53,5891.0
AMDIND,NSE,AMDIND.NS,True,,38.07,13.76,73.8,4689.0
AMJLAND,NSE,AMJLAND.NS,True,,38.23,11.23,156.74,5892.0
AMNPLST,NSE,AMNPLST.NS,True,,151.94,12.77,835.97,583.0
AMRUTANJAN,NSE,AMRUTANJAN.NS,True,,515.55,68.69,1489.94,4044.0
ANANDRATHI,NSE,ANANDRATHI.NS,True,,3003.4,6663.89,24936.82,1056.0
ANANTRAJ,NSE,ANANTRAJ.NS,True,,465.85,13123.27,16774.06,4805.0
ANDHRAPAP,NSE,ANDHRAPAP.NS,True,,60.4,82.55,1201.06,7587.0
ANDHRSUGAR,NSE,ANDHRSUGAR.NS,True,,70.96,104.13,962.77,5891.0
ANGELONE,NSE,ANGELONE.NS,True,,231.32,22460.28,21028.26,1353.0
ANIKINDS,NSE,ANIKINDS.NS,True,,37.93,10.55,106.93,4399.0
ANUHPHR,NSE,ANUHPHR.NS,True,,74.31,31.79,747.89,310.0
ANUP,NSE,ANUP.NS,True,,1588.2,787.88,3200.98,1743.0
ANURAS,NSE,ANURAS.NS,True,,1252.5,3655.33,14277.73,1235.0
APARINDS,NSE,APARINDS.NS,True,,9673.0,10855.29,38856.2,5362.0
APCL,NSE,APCL.NS,True,,112.87,18.17,331.55,2212.0
APCOTEXIND,NSE,APCOTEXIND.NS,True,,351.05,85.2,1831.03,5858.0
APEX,NSE,APEX.NS,True,,376.25,6367.43,1178.87,2112.0
APLAPOLLO,NSE,APLAPOLLO.NS,True,,1973.1,15627.78,54793.24,3521.0
APLLTD,NSE,APLLTD.NS,True,,677.3,370.43,13345.47,3576.0
APOLLO,NSE,APOLLO.NS,True,,198.63,7346.96,7470.14,2016.0
APOLLOHOSP,NSE,APOLLOHOSP.NS,True,,7364.5,31574.63,105890.21,5890.0
APOLLOPIPE,NSE,APOLLOPIPE.NS,True,,386.95,6910.27,1699.48,1577.0
APOLLOTYRE,NSE,APOLLOTYRE.NS,True,,420.85,4438.22,26653.35,6022.0
APOLSINHOT,NSE,APOLSINHOT.NS,True,,1065.5,15.06,277.07,2739.0
APTECHT,NSE,APTECHT.NS,True,,79.07,181.78,460.31,5828.0
APTUS,NSE,APTUS.NS,True,,208.83,2617.88,10457.01,1133.0
AQYLON,NSE,AQYLON.NS,True,,65.3,203.26,1660.5,5893.0
