Symbol,Exchange,Ticker,passed,fail_reason,Price,Avg_Daily_Value_L,Market_Cap_Cr,Data_Rows
20MICRONS,NSE,20MICRONS.NS,True,,151.02,495.99,534.54,4304.0
21STCENMGM,NSE,21STCENMGM.NS,False,Daily value Rs 1.3L < Rs 10L,31.9,1.33,,2022.0
360ONE,NSE,360ONE.NS,True,,1040.6,10101.78,42239.61,1610.0
3IINFOLTD,NSE,3IINFOLTD.NS,True,,13.82,62.49,287.09,5162.0
3MINDIA,NSE,3MINDIA.NS,True,,32270.0,1477.32,36352.38,5889.0
3PLAND,NSE,3PLAND.NS,False,Daily value Rs 1.6L < Rs 10L,32.36,1.6,,4442.0
5PAISA,NSE,5PAISA.NS,True,,291.6,627.78,911.3,2062.0
63MOONS,NSE,63MOONS.NS,True,,531.45,916.8,2448.99,5122.0
AAATECH,NSE,AAATECH.NS,True,,93.0,49.1,119.29,1324.0
AADHARHFC,NSE,AADHARHFC.NS,True,,449.85,1868.57,19561.12,461.0
AAREYDRUGS,NSE,AAREYDRUGS.NS,True,,69.28,169.96,196.47,1143.0
AARNAV,NSE,AARNAV.NS,False,Listed only 25 days,25.77,25.37,,17.0
AARON,NSE,AARON.NS,True,,137.74,17.94,288.52,1852.0
AARTECH,NSE,AARTECH.NS,True,,46.63,23.29,148.15,667.0
AARTIDRUGS,NSE,AARTIDRUGS.NS,True,,343.15,446.84,3133.45,5572.0
AARTIIND,NSE,AARTIIND.NS,True,,427.35,4464.3,15518.95,5893.0
AARTIPHARM,NSE,AARTIPHARM.NS,True,,644.6,1280.75,5852.62,776.0
AARTISURF,NSE,AARTISURF.NS,True,,352.85,75.57,299.34,1410.0
AARVI,NSE,AARVI.NS,True,,130.15,32.09,192.76,2088.0
AAVAS,NSE,AAVAS.NS,True,,1098.1,2779.86,8696.06,1842.0
ABB,NSE,ABB.NS,True,,6297.0,24265.48,133446.45,5893.0
ABBOTINDIA,NSE,ABBOTINDIA.NS,True,,26715.0,2107.3,56767.51,5863.0
ABCAPITAL,NSE,ABCAPITAL.NS,True,,311.25,21289.35,81531.05,2114.0
ABCOTS,NSE,ABCOTS.NS,True,,403.35,68.46,885.9,1025.0
ABDL,NSE,ABDL.NS,True,,408.45,1826.43,11424.76,429.0
ABFRL,NSE,ABFRL.NS,True,,59.98,4405.93,7295.89,3127.0
ABINFRA,NSE,ABINFRA.NS,True,,16.97,320.75,1084.03,1642.0
ABLBL,NSE,ABLBL.NS,False,Listed only 272 days,93.23,2504.63,11342.14,185.0
ABREL,NSE,ABREL.NS,True,,1165.4,2591.8,12884.56,7585.0
ABSLAMC,NSE,ABSLAMC.NS,True,,944.65,4898.67,27282.08,1100.0
ACC,NSE,ACC.NS,True,,1381.4,2541.32,25940.93,5890.0
ACCELYA,NSE,ACCELYA.NS,True,,1181.8,228.06,1769.24,5890.0
ACCURACY,NSE,ACCURACY.NS,False,Price Rs 4.0 < Rs 5,3.99,4.77,,1901.0
ACE,NSE,ACE.NS,True,,829.15,1638.38,9868.77,4806.0
ACEINTEG,NSE,ACEINTEG.NS,False,Daily value Rs 0.9L < Rs 10L,16.94,0.86,,2145.0
ACI,NSE,ACI.NS,True,,601.25,851.31,7422.94,824.0
ACL,NSE,ACL.NS,True,,52.79,22.62,488.45,3791.0
ACMESOLAR,NSE,ACMESOLAR.NS,True,,246.37,2675.79,14929.33,336.0
ACUTAAS,NSE,ACUTAAS.NS,False,Listed only 293 days,2399.8,9325.95,19647.43,201.0
ADANIENSOL,NSE,ADANIENSOL.NS,True,,1009.9,15476.39,121541.9,637.0
ADANIENT,NSE,ADANIENT.NS,True,,1927.1,27641.79,262458.16,5892.0
ADANIGREEN,NSE,ADANIGREEN.NS,True,,863.1,26148.61,142167.77,1917.0
ADANIPORTS,NSE,ADANIPORTS.NS,True,,1365.4,33651.16,314582.58,4516.0
ADANIPOWER,NSE,ADANIPOWER.NS,True,,151.54,31854.92,292260.69,4093.0
ADFFOODS,NSE,ADFFOODS.NS,True,,174.43,303.54,1916.35,3829.0
ADL,NSE,ADL.NS,False,Daily value Rs 1.5L < Rs 10L,66.58,1.49,,1353.0
ADOR,NSE,ADOR.NS,True,,917.1,142.78,1596.01,5273.0
ADROITINFO,NSE,ADROITINFO.NS,False,Daily value Rs 7.5L < Rs 10L,8.83,7.54,,2577.0
ADSL,NSE,ADSL.NS,True,,101.55,244.5,573.9,4602.0
ADVAIT,NSE,ADVAIT.NS,False,Listed only 61 days,1644.6,635.51,1798.66,42.0
ADVANCE,NSE,ADVANCE.NS,False,Listed only 165 days,97.32,648.44,625.63,113.0
ADVANIHOTR,NSE,ADVANIHOTR.NS,True,,51.73,31.61,478.18,4623.0
ADVENTHTL,NSE,ADVENTHTL.NS,False,Listed only 129 days,151.07,245.22,814.92,89.0
ADVENZYMES,NSE,ADVENZYMES.NS,True,,272.6,418.8,3051.12,2382.0
AEGISLOG,NSE,AEGISLOG.NS,True,,611.7,4505.64,21470.67,447.0
AEGISVOPAK,NSE,AEGISVOPAK.NS,False,Listed only 293 days,178.54,2018.61,19782.08,202.0
AEPL,NSE,AEPL.NS,False,Daily value Rs 8.9L < Rs 10L,16.85,8.88,,7.0
