Symbol,Sector,Market_Cap_Cr,Cap_Tier,Passed,Fail_Reason
20MICRONS,Metals & Mining,534.54,Small Cap,True,
360ONE,Financial Services,42239.61,Large Cap,True,
3IINFOLTD,Information Technology,287.09,Small Cap,False,ROE 7.7% < 10% (Small Cap)
3MINDIA,Diversified,36352.38,Large Cap,True,
5PAISA,Financial Services,911.3,Small Cap,True,
63MOONS,Information Technology,2448.99,Mid Cap,False,TTM Profit negative or zero
AAATECH,Services,119.29,Small Cap,False,TTM Profit negative or zero
AADHARHFC,Financial Services,19561.12,Mini Large,True,
AAREYDRUGS,Healthcare,196.47,Small Cap,False,TTM Profit negative or zero
AARON,Capital Goods,288.52,Small Cap,False,TTM Profit negative or zero
AARTECH,Capital Goods,148.15,Small Cap,False,ROE 8.2% < 10% (Small Cap)
AARTIDRUGS,Healthcare,3133.45,Mid Cap,True,
AARTIIND,Chemicals,15518.95,Mini Large,False,ROE 5.8% < 7% (Mini Large)
AARTIPHARM,Healthcare,5852.62,Mini Large,True,
AARTISURF,Chemicals,299.34,Small Cap,False,ROE 6.4% < 10% (Small Cap)
AARVI,Services,192.76,Small Cap,False,ROE 7.5% < 10% (Small Cap)
AAVAS,Financial Services,8696.06,Mini Large,True,
ABB,Capital Goods,133446.45,Large Cap,True,
ABBOTINDIA,Healthcare,56767.51,Large Cap,False,TTM Profit negative or zero
ABCAPITAL,Financial Services,81531.05,Large Cap,True,
ABCOTS,Textiles,885.9,Small Cap,False,ROE 6.8% < 10% (Small Cap)
ABDL,Fast Moving Consumer Goods,11424.76,Mini Large,False,Inconsistent profits: 8.0/12.0 quarters
ABFRL,Consumer Services,7295.89,Mini Large,False,TTM Profit negative or zero
ABINFRA,Construction,1084.03,Mid Cap,False,TTM Profit negative or zero
ABREL,Forest Materials,12884.56,Mini Large,False,TTM Profit negative or zero
ABSLAMC,Financial Services,27282.08,Large Cap,True,
ACC,Construction Materials,25940.93,Large Cap,True,
ACCELYA,Information Technology,1769.24,Mid Cap,True,
ACE,Capital Goods,9868.77,Mini Large,True,
ACI,Chemicals,7422.94,Mini Large,True,
ACL,Construction Materials,488.45,Small Cap,False,TTM Profit negative or zero
ACMESOLAR,Power,14929.33,Mini Large,False,ROE 5.2% < 7% (Mini Large)
ADANIENSOL,Power,121541.9,Large Cap,False,ROE 3.9% < 6% (Large Cap)
ADANIENT,Metals & Mining,262458.16,Large Cap,True,
ADANIGREEN,Power,142167.77,Large Cap,False,D/E 4.52 > 2.5 (Large Cap)
ADANIPORTS,Services,314582.58,Large Cap,True,
ADANIPOWER,Power,292260.69,Large Cap,True,
ADFFOODS,Fast Moving Consumer Goods,1916.35,Mid Cap,True,
ADOR,Capital Goods,1596.01,Mid Cap,True,
ADSL,Information Technology,573.9,Small Cap,False,ROE 5.3% < 10% (Small Cap)
ADVANIHOTR,Consumer Services,478.18,Small Cap,False,TTM Profit negative or zero
ADVENZYMES,Healthcare,3051.12,Mid Cap,True,
AEGISLOG,"Oil, Gas & Consumable Fuels",21470.67,Large Cap,True,
AEROFLEX,Capital Goods,3095.56,Mid Cap,True,
AERONEU,Capital Goods,172.75,Small Cap,False,TTM Profit negative or zero
AETHER,Chemicals,15331.19,Mini Large,False,ROE 6.8% < 7% (Mini Large)
AFCONS,Construction,10252.0,Mini Large,True,
AFFLE,Information Technology,18077.32,Mini Large,True,
AFFORDABLE,Capital Goods,159.8,Small Cap,False,TTM Profit negative or zero
AFSL,Financial Services,1022.83,Mid Cap,True,
AGARIND,Chemicals,616.93,Small Cap,True,
AGARWALEYE,Healthcare,13443.73,Mini Large,False,ROE 5.7% < 7% (Mini Large)
AGI,Capital Goods,3229.05,Mid Cap,True,
AGIIL,Realty,3891.71,Mid Cap,True,
AHLADA,Consumer Durables,50.88,Small Cap,False,TTM Profit negative or zero
AHLEAST,Consumer Services,262.75,Small Cap,False,ROE 7.9% < 10% (Small Cap)
AHLUCONT,Construction,4856.26,Mid Cap,True,
AIAENG,Capital Goods,31818.51,Large Cap,True,
AIIL,Financial Services,41798.88,Large Cap,False,Promoter selling: -6.16% in 4Q
AIRAN,Information Technology,190.28,Small Cap,True,
AJANTPHARM,Healthcare,36307.74,Large Cap,True,
AJAXENGG,Capital Goods,5388.56,Mini Large,False,TTM Profit negative or zero
AJMERA,Realty,2137.04,Mid Cap,False,Poor CF: 6.0/12.0 yrs
AKSHARCHEM,Chemicals,147.83,Small Cap,True,
AKUMS,Healthcare,7405.85,Mini Large,True,
AKZOINDIA,Consumer Durables,13138.84,Mini Large,False,Promoter selling: -13.56% in 4Q
ALANKIT,Services,205.02,Small Cap,False,ROE 7.2% < 10% (Small Cap)
ALBERTDAVD,Healthcare,377.62,Small Cap,False,TTM Profit negative or zero
ALEMBICLTD,Realty,2051.69,Mid Cap,True,
ALICON,Automobile and Auto Components,1057.57,Mid Cap,False,ROE 7.5% < 8% (Mid Cap)
ALIVUS,Healthcare,11688.63,Mini Large,False,ROE nan% < 7% (Mini Large)
ALKEM,Healthcare,62861.3,Large Cap,True,
ALKYLAMINE,Chemicals,6607.81,Mini Large,True,
ALLCARGO,Services,1211.37,Mid Cap,False,ROE 5.6% < 8% (Mid Cap)
ALLDIGI,Services,1118.19,Mid Cap,True,
ALMONDZ,Financial Services,249.05,Small Cap,False,ROE 6.6% < 10% (Small Cap)
ALOKINDS,Textiles,6375.37,Mini Large,False,TTM Profit negative or zero
ALPA,Healthcare,126.6,Small Cap,False,Poor CF: 7.0/12.0 yrs
ALPHAGEO,"Oil, Gas & Consumable Fuels",117.68,Small Cap,False,TTM Profit negative or zero
AMBER,Consumer Durables,23418.3,Large Cap,False,Inconsistent profits: 9.0/13.0 quarters
AMBIKCO,Textiles,731.23,Small Cap,False,TTM Profit negative or zero
AMBUJACEM,Construction Materials,103952.53,Large Cap,True,
AMDIND,Capital Goods,73.8,Small Cap,False,ROE 5.8% < 10% (Small Cap)
AMJLAND,Realty,156.74,Small Cap,False,ROE 8.3% < 10% (Small Cap)
AMNPLST,Chemicals,835.97,Small Cap,True,
AMRUTANJAN,Healthcare,1489.94,Mid Cap,True,
ANANDRATHI,Financial Services,24936.82,Large Cap,True,
ANANTRAJ,Realty,16774.06,Mini Large,False,Poor CF: 6.0/12.0 yrs
ANDHRAPAP,Forest Materials,1201.06,Mid Cap,False,TTM Profit negative or zero
ANDHRSUGAR,Chemicals,962.77,Small Cap,False,ROE 1.6% < 10% (Small Cap)
ANGELONE,Financial Services,21028.26,Large Cap,False,Promoter selling: -6.7% in 4Q
ANIKINDS,Services,106.93,Small Cap,False,ROE 0.8% < 10% (Small Cap)
ANUHPHR,Healthcare,747.89,Small Cap,False,TTM Profit negative or zero
ANUP,Capital Goods,3200.98,Mid Cap,True,
ANURAS,Chemicals,14277.73,Mini Large,False,ROE 5.0% < 7% (Mini Large)
APARINDS,Capital Goods,38856.2,Large Cap,True,
APCL,Construction Materials,331.55,Small Cap,False,TTM Profit negative or zero
APCOTEXIND,Capital Goods,1831.03,Mid Cap,False,Poor CF: 1.0/2.0 yrs
APEX,Fast Moving Consumer Goods,1178.87,Mid Cap,False,TTM Profit negative or zero
APLAPOLLO,Capital Goods,54793.24,Large Cap,True,
APLLTD,Healthcare,13345.47,Mini Large,True,
APOLLO,Capital Goods,7470.14,Mini Large,False,ROE 5.2% < 7% (Mini Large)
APOLLOHOSP,Healthcare,105890.21,Large Cap,True,
APOLLOPIPE,Capital Goods,1699.48,Mid Cap,False,ROE 4.1% < 8% (Mid Cap)
APOLLOTYRE,Automobile and Auto Components,26653.35,Large Cap,True,
APOLSINHOT,Consumer Services,277.07,Small Cap,False,ROE 5.3% < 10% (Small Cap)
