Symbol,Sector,Is Financial,Is MNC,Is Institutional,Is Lumpy CF,Tags,Passed Survival,Reason
TCS,Information Technology,False,False,False,False,,True,All checks passed
INFY,Information Technology,False,False,True,False,INST,True,All checks passed
HDFCBANK,Financial Services,True,True,True,False,"MNC, INST, FIN",True,All checks passed
RELIANCE,"Oil, Gas & Consumable Fuels",False,False,False,False,,True,All checks passed
WIPRO,Information Technology,False,False,False,False,,True,All checks passed
PERSISTENT,Information Technology,False,False,False,False,,True,All checks passed
MPHASIS,Information Technology,False,False,False,False,,False,Promoter selling: -9.64% in 4Q
LTTS,Information Technology,False,False,False,False,,True,All checks passed
COFORGE,Information Technology,False,True,True,False,"MNC, INST",True,All checks passed
HAPPSTMNDS,Information Technology,False,False,False,False,,True,All checks passed
CHOLAFIN,Financial Services,True,False,False,False,FIN,True,All checks passed
MUTHOOTFIN,Financial Services,True,False,False,False,FIN,True,All checks passed
MANAPPURAM,Financial Services,True,False,False,False,FIN,True,All checks passed
IIFL,Financial Services,True,False,False,False,FIN,False,Low promoter: 24.85%
CREDITACC,Financial Services,True,False,False,False,FIN,True,All checks passed
GARFIBRES,Textiles,False,False,False,False,,True,All checks passed
SUPRAJIT,Automobile and Auto Components,False,False,False,False,,True,All checks passed
HIMATSEIDE,Textiles,False,False,False,False,,True,All checks passed
IGPL,Chemicals,False,False,False,False,,False,Negative TTM profit | Inconsistent profits: 9/13 quarters
HAL,Capital Goods,False,False,False,True,LUMPY_CF,True,All checks passed
BEL,Capital Goods,False,False,False,True,LUMPY_CF,True,All checks passed
BHEL,Capital Goods,False,False,False,True,LUMPY_CF,False,Inconsistent profits: 9/13 quarters
MIDHANI,Capital Goods,False,False,False,True,LUMPY_CF,True,All checks passed
PARAS,Capital Goods,False,False,False,True,LUMPY_CF,True,All checks passed
VINATIORGA,Chemicals,False,False,False,False,,True,All checks passed
CLEAN,Chemicals,False,False,False,False,,False,Promoter selling: -24.01% in 4Q
FINEORG,Chemicals,False,False,False,False,,True,All checks passed
GALAXYSURF,Chemicals,False,False,False,False,,True,All checks passed
SUNPHARMA,Healthcare,False,False,False,False,,True,All checks passed
DIVISLAB,Healthcare,False,False,False,False,,True,All checks passed
APLLTD,Healthcare,False,False,False,False,,True,All checks passed
GRANULES,Healthcare,False,False,False,False,,True,All checks passed
IPCALAB,Healthcare,False,False,False,False,,True,All checks passed
TITAN,Consumer Durables,False,False,False,True,LUMPY_CF,True,All checks passed
HAVELLS,Consumer Durables,False,False,False,True,LUMPY_CF,True,All checks passed
VGUARD,Consumer Durables,False,False,False,True,LUMPY_CF,True,All checks passed
SYMPHONY,Consumer Durables,False,False,False,True,LUMPY_CF,True,All checks passed
WONDERLA,Consumer Services,False,False,False,True,LUMPY_CF,True,All checks passed
PIIND,Chemicals,False,False,False,False,,True,All checks passed
RALLIS,Chemicals,False,False,False,False,,True,All checks passed
DHANUKA,Chemicals,False,False,False,False,,True,All checks passed
DYNPRO,Chemicals,False,False,False,False,,False,Low promoter: 29.42%
GULFPETRO,"Oil, Gas & Consumable Fuels",False,False,False,False,,False,Poor CF: 6/12 years (need 70%) | Promoter selling: -6.87% in 4Q
SUVIDHAA,Financial Services,True,False,False,False,FIN,False,Negative TTM profit | Inconsistent profits: 1/13 quarters
ABSLAMC,Financial Services,True,False,False,False,FIN,True,All checks passed
