Symbol,Sector,Fund Score,Current Price,RSI,ADX,MACD Hist,Vol Ratio,EMA20,EMA50,EMA200,DI+,DI-,Momentum Score,Reversal Score,Best Setup,Tech Score,Tier,In Consolidation,Consol Days,Consol Label,Pct to Breakout,Consol Volume,Sector Score,Cap Score,Market Cap Cr,Cap Category,Vol 5D Ratio,Breakout Vol,Vol Label,Vol Inference,Sector Trend,Sector Detail,range_pct
PERSISTENT,Information Technology,76.0,4716.7,47.57,36.1,40.64,0.72,4846.88,5288.92,5596.46,19.4,17.51,42,53,Reversal,53,TIER 2 — WATCHLIST,True,390,390d (1-1.5 years),-26.9,0.81,10.0,10.0,73753.1133952,Mini Large Cap,0.56,1.05,Very Low,Low volume on down move → selling pressure easing,Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,38.43
CHOLAFIN,Financial Services,75.3,1440.5,17.67,58.94,-18.42,1.24,1581.6,1639.22,1613.49,7.95,46.64,5,50,Reversal,50,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,10.0,10.0,122735.951872,Large Cap,1.06,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 32.5 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,0.0
MUTHOOTFIN,Financial Services,74.6,3315.9,45.05,28.25,19.67,1.59,3388.08,3516.06,3229.84,21.11,33.43,52,15,Momentum,52,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,9.9,9.9,133198.0140544,Large Cap,1.24,0.0,Normal,Average volume → monitor for increase,Strong Downtrend ↓↓,RSI 32.5 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,0.0
FINEORG,Chemicals,73.0,4256.1,36.98,37.69,-21.06,0.38,4360.61,4375.86,4479.27,9.94,24.92,10,70,Reversal,70,TIER 1 — BUY NOW (Reversal),True,799,799d (2+ years),-21.91,0.48,10.0,10.0,13049.192448,Mid Cap,0.25,0.27,Very Low,Sellers exhausted → reversal likely,Strong Downtrend ↓↓,RSI 34.4 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,36.97
TITAN,Consumer Durables,69.0,4106.6,44.76,37.71,-19.93,1.35,4156.23,4131.77,3845.1,13.38,26.36,30,40,Watching,40,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,10.0,10.0,364274.0178944,Large Cap,1.27,0.0,Normal,Normal activity → no setup forming yet,Strong Downtrend ↓↓,RSI 36.4 | ADX 46.3 | MACD ▼ | EMA ↓↓↓ | Below EMA200,0.0
DHANUKA,Chemicals,69.0,962.1,35.1,23.12,0.93,0.54,1007.63,1068.21,1272.83,23.03,24.09,15,60,Reversal,60,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,9.5,10.0,4336.9852928,Small Cap,0.72,0.0,Low,Neutral volume → wait for low-volume base to form,Strong Downtrend ↓↓,RSI 34.4 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,0.0
PIIND,Chemicals,68.0,2909.5,35.61,25.86,-10.98,2.32,2999.12,3101.34,3413.56,19.36,23.67,5,25,Watching,25,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,9.3,10.0,44138.0569088,Mini Large Cap,1.02,0.0,Normal,Normal activity → no setup forming yet,Strong Downtrend ↓↓,RSI 34.4 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,0.0
BEL,Capital Goods,68.0,426.1,35.18,28.22,-3.7,0.91,441.43,434.15,399.42,16.36,33.92,20,25,Watching,25,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,10.0,10.0,311469.6966144,Large Cap,0.78,0.0,Low,Low activity → no setup forming yet,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,0.0
ABSLAMC,Financial Services,67.0,944.65,51.75,22.47,-2.47,0.19,927.31,880.99,807.78,18.31,18.83,65,30,Momentum,65,TIER 1 — BUY NOW (Momentum),False,0,No consolidation,0.0,0.0,8.9,10.0,27282.079744,Mini Large Cap,0.72,0.0,Low,"Weak volume → momentum may fade, wait",Strong Downtrend ↓↓,RSI 32.5 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,0.0
SUNPHARMA,Healthcare,65.0,1777.1,49.74,30.45,-5.97,1.29,1769.86,1741.43,1703.47,11.94,26.51,57,15,Momentum,57,TIER 1 — BREAKOUT IMMINENT,True,527,527d (1.5-2 years),-4.01,1.29,10.0,10.0,426385.8143232,Large Cap,0.89,1.09,Low,"Weak volume → momentum may fade, wait",Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,26.17
COFORGE,Information Technology,64.0,1089.3,32.0,56.27,10.57,0.69,1180.73,1359.93,1582.52,13.85,29.9,20,73,Reversal,73,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,8.4,8.4,36590.5412096,Mini Large Cap,1.15,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,0.0
DIVISLAB,Healthcare,64.0,6100.0,42.16,33.04,-33.96,1.09,6202.62,6248.77,6227.33,17.52,32.96,10,25,Watching,25,TIER 2 — BASE BUILDING,True,332,332d (under 1 year),-10.24,1.09,9.8,9.8,161935.8253056,Large Cap,0.76,0.5,Low,Low activity → no setup forming yet,Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,23.57
GARFIBRES,Textiles,64.0,611.7,39.05,25.92,-0.04,0.55,628.74,650.06,721.35,15.9,24.49,10,40,Watching,40,TIER 2 — BASE BUILDING,True,544,544d (1.5-2 years),-34.26,1.54,10.0,10.0,6072.0918528,Mid Cap,0.66,0.48,Very Low,"Very low volume → no interest, wait",Strong Downtrend ↓↓,RSI 34.4 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,49.23
