Symbol,Sector,Fund Score,Market Cap Cr,Cap Category,Current Price,RSI,ADX,MACD Hist,Vol Ratio,EMA20,EMA50,EMA200,DI+,DI-,Momentum Score,Reversal Score,Best Setup,Tech Score,Tier,In Consolidation,Consol Days,Consol Label,Pct to Breakout,Consol Volume,Vol 5D Ratio,Breakout Vol,range_pct,Vol Label,Vol Inference,Sector Trend,Sector Detail,Sector Score,Cap Score,ML_Prediction,ML_Confidence,Forecast_25d_Pct,Forecast_45d_Pct,Forecast_180d_Pct,Forecast_25d_Price,Forecast_45d_Price,Forecast_180d_Price,Bottom_Rev_Prob,Top_Rev_Prob,Bottom_Rev_Flag,Top_Rev_Flag,Bullish_Cont_Prob,Bearish_Cont_Prob
20MICRONS,Metals & Mining,61.4,534.54,Small Cap,151.02,27.5,40.37,-1.35,1.23,163.43,174.27,198.26,14.55,37.98,5,35,Watching,35,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,2.17,0.0,0.0,Very High,Above avg volume but no setup → watch closely,Downtrend ↓,RSI 40.8 | ADX 28.0 | MACD ▼ | EMA ↑↑↑ | Above EMA200,7.3,9.0,Bullish,83.5,1.3,3.0,7.0,153.02,155.57,161.62,83.5,0.0,True,False,0.0,85.0
360ONE,Financial Services,46.6,42239.61,Large Cap,1040.6,42.0,29.99,-0.05,0.58,1066.97,1097.45,1093.14,20.56,22.26,10,85,Reversal,85,TIER 3 — WAITING,True,428,428d (1-1.5 years),-15.04,0.8,0.58,0.49,-15.04,Very Low,Low volume on down move → selling pressure easing,Strong Downtrend ↓↓,RSI 39.2 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,5.4,5.4,Reversal,72.6,2.5,4.1,20.3,1066.12,1083.75,1251.45,72.6,0.0,True,False,0.0,0.1
3MINDIA,Diversified,51.6,36352.38,Large Cap,32270.0,26.45,30.07,-238.38,1.22,34068.94,34614.63,33002.56,14.08,25.44,10,50,Reversal,50,TIER 3 — WAITING,True,682,682d (1.5-2 years),-13.49,1.89,1.15,0.73,-13.49,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,10.0,10.0,Reversal,65.3,0.5,1.9,8.5,32446.66,32898.28,35021.43,65.3,0.0,True,False,0.0,0.1
5PAISA,Financial Services,43.3,911.3,Small Cap,291.6,37.01,15.15,-0.51,0.9,305.2,319.81,349.56,17.59,20.37,0,63,Reversal,63,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.9,0.0,0.0,Low,Neutral volume → wait for low-volume base to form,Strong Downtrend ↓↓,RSI 39.2 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,5.0,5.6,Reversal,79.1,2.5,4.1,20.3,298.75,303.69,350.69,79.1,0.0,True,False,0.0,86.1
AADHARHFC,Financial Services,68.5,19561.12,Mini Large Cap,449.85,35.05,21.52,-0.6,0.56,468.42,472.51,475.69,13.21,26.17,5,70,Reversal,70,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,0.59,0.0,0.0,Very Low,Low volume on down move → selling pressure easing,Strong Downtrend ↓↓,RSI 39.2 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,8.0,8.6,Reversal,72.7,2.5,4.1,20.3,460.88,468.5,541.0,72.7,0.0,True,False,0.0,85.6
AARTIDRUGS,Healthcare,40.0,3133.45,Mid Cap,343.15,41.03,33.73,-1.03,0.82,353.07,370.15,418.36,14.67,17.47,5,55,Reversal,55,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.46,0.0,0.0,Normal,Elevated volume on reversal → watch direction,Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,4.6,4.6,Reversal,79.0,0.2,1.4,13.6,343.95,347.79,389.83,79.0,0.0,True,False,0.0,87.7
AARTIPHARM,Healthcare,27.2,5852.62,Mini Large Cap,644.6,34.91,37.67,-2.48,0.99,678.31,710.55,756.32,9.59,25.88,5,50,Reversal,50,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.19,0.0,0.0,Normal,Elevated volume on reversal → watch direction,Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,3.1,3.2,Reversal,84.6,1.8,1.3,7.9,656.03,652.9,695.51,84.6,0.0,True,False,0.0,73.5
AAVAS,Financial Services,60.1,8696.06,Mini Large Cap,1098.1,20.47,66.81,-7.06,0.71,1197.43,1297.95,1523.19,5.7,34.02,5,28,Watching,28,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.4,0.0,0.0,Normal,Strong downtrend → no entry signal,Strong Downtrend ↓↓,RSI 39.2 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,7.0,7.5,Bullish,83.3,2.5,4.1,20.3,1125.03,1143.63,1320.6,83.3,0.0,True,False,0.0,85.7
ABB,Capital Goods,48.0,133446.45,Large Cap,6297.0,57.86,35.76,-11.36,0.44,6124.31,5815.64,5565.3,29.88,17.7,80,15,Momentum,80,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.39,0.0,0.0,Very Low,"Very low volume → no conviction, caution",Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,5.8,5.9,Bullish Continual,75.7,1.9,3.4,16.2,6414.71,6511.44,7314.95,0.0,68.1,False,True,75.7,0.0
ABCAPITAL,Financial Services,61.0,81531.05,Large Cap,311.25,36.24,31.29,-1.25,0.38,326.97,335.85,307.97,17.57,30.69,20,55,Reversal,55,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,0.26,0.0,0.0,Very Low,Sellers exhausted → reversal likely,Strong Downtrend ↓↓,RSI 39.2 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,7.1,7.1,Reversal,72.2,2.6,4.6,20.3,319.2,325.49,374.32,72.2,0.0,True,False,0.0,0.0
