Symbol,Sector,Fund Score,Momentum Score,Reversal Score,Breakout Score,Best Setup,Best Score,Tier,Current Price,RSI,ADX,MACD Hist,Vol Ratio,VP Status,POC,VAH,VAL
MUTHOOTFIN,Financial Services,72.4,37,30,69,Breakout,69,TIER 1 — BUY NOW,3333.2,48.39,40.1,-2.91,1.17,AT_RESISTANCE,2125.26,3303.0,1978.05
PERSISTENT,Information Technology,72.0,20,100,25,Reversal,100,TIER 1 — BUY NOW,4638.8,28.41,56.76,23.73,0.49,BREAKOUT_DOWN,5226.59,6207.55,5063.09
DHANUKA,Chemicals,68.0,5,25,25,Reversal,25,TIER 3 — WAITING,975.4,35.21,38.21,-6.01,0.84,BREAKOUT_DOWN,1684.27,1889.49,1273.83
VINATIORGA,Chemicals,67.0,5,50,45,Reversal,50,TIER 2 — WATCHLIST,1348.0,25.48,43.14,-6.59,1.56,BREAKOUT_DOWN,1689.33,1854.32,1547.91
AAVAS,Financial Services,66.4,5,43,33,Reversal,43,TIER 2 — WATCHLIST,1169.8,20.29,55.49,-3.25,0.64,BREAKOUT_DOWN,1453.55,1961.75,1453.55
ABSLAMC,Financial Services,66.0,95,50,40,Momentum,95,TIER 1 — BUY NOW,932.8,51.37,35.33,4.46,0.44,AT_RESISTANCE,852.97,920.3,718.31
SUNPHARMA,Healthcare,66.0,100,15,66,Momentum,100,TIER 1 — BUY NOW,1801.6,60.54,39.57,5.11,1.05,BREAKOUT_UP,1665.09,1736.25,1593.92
BEL,Capital Goods,64.0,35,10,54,Breakout,54,TIER 2 — WATCHLIST,439.4,40.28,28.67,-1.02,1.05,AT_RESISTANCE,411.42,447.91,367.64
GARFIBRES,Textiles,64.0,10,50,58,Breakout,58,TIER 2 — WATCHLIST,607.35,27.69,27.25,-3.81,3.65,INSIDE,758.33,849.5,602.04
GRANULES,Healthcare,63.0,20,41,55,Breakout,55,TIER 2 — WATCHLIST,562.2,40.3,17.83,-0.87,0.71,AT_RESISTANCE,492.91,568.55,458.53
TCS,Information Technology,62.0,5,43,33,Reversal,43,TIER 2 — WATCHLIST,2410.5,11.0,54.69,-5.46,0.61,BREAKOUT_DOWN,2971.72,3368.07,2932.08
HAL,Capital Goods,61.0,25,45,39,Reversal,45,TIER 2 — WATCHLIST,3914.4,38.14,26.61,8.49,1.12,INSIDE,4419.44,4777.25,3942.36
FINEORG,Chemicals,61.0,10,55,40,Reversal,55,TIER 2 — WATCHLIST,4287.7,38.68,31.54,-41.49,0.44,INSIDE,4821.29,4884.29,4002.29
SYMPHONY,Consumer Durables,60.7,32,43,8,Reversal,43,TIER 2 — WATCHLIST,799.1,45.53,38.44,1.85,0.7,BREAKOUT_DOWN,1282.84,1323.01,901.26
PARAS,Capital Goods,59.0,10,25,55,Breakout,55,TIER 3 — WAITING,638.95,35.3,35.15,-0.9,0.28,INSIDE,719.11,812.68,644.26
